tag,count
旅游景点,204
环境不错,105
人气旺,96
风景区,92
收费合理,86
位置优越,84
交通便利,82
设施新全,80
服务热情,75
适合亲子,73
免费项目,71
景色优美,71
适合拍照,65
停车方便,65
卫生干净,62
适合跑步,52
文物古迹,45
建筑风格独特,41
玩的开心,41
情侣约会,39
景区大,39
空气清新,38
著名景点,35
保存完整,34
适合家庭出行,34
涨知识圣地,31
休闲好去处,31
登山,31
赏花胜地,31
避暑胜地,29
自驾圣地,29
绿植繁茂,28
古色古香,27
北京文旅推荐,24
历史厚重,24
展品丰富,23
景点多,23
打卡必去,22
管理规范,22
24小时,22
游玩项目赞,22
取票方便,21
博物馆,19
其他,18
提供无障碍设施,17
重点文物保护单位,17
收获颇丰,17
动植物繁多,17
可以露营,17
适合自驾游,16
水很清澈,16
场馆大,15
宏伟大气,15
团购方便,15
夕阳,15
可看夜景,14
教育培训,13
银杏,13
有皇家园林风格,12
一日游,12
适合老人,12
礼佛祈福,12
值得游玩,12
绿化很好,11
景点,11
购物,10
文化传媒,10
商业气息浓,10
古镇游玩,10
休闲娱乐,10
高等院校,9
文化氛围浓,9
气势宏大,9
赏红叶,9
烧烤,9
公园,9
剧院,9
运动健身,9
面积大,8
看雪景,8
游玩项目多,8
体育场馆,8
免费开放,7
环境优美,7
可以看表演,7
购票,7
红色旅游,7
采摘,6
垂钓,6
香火旺,6
可带宠物,6
全景实拍,5
书籍很多,5
图书馆大,5
行政地标,5
可过夜,5
可烧烤,5
漂流,5
日出,5
草原,5
音效好,5
空间大,5
天然氧吧,5
出入口,5
门,5
公园露营,5
交通设施,5
985高校,4
211高校,4
展览馆,4
过山车,4
实景拍摄,4
美术馆,4
体验赞,4
教堂,4
夜场滑雪,4
免费营地,4
金黄银杏,3
世界遗产,3
有北京炸酱面,3
可明火,3
免费停车,3
图书馆,3
服务好,3
村庄,3
别具特色,3
寺庙,3
停车场,3
卫生间,3
自来水,3
可自带帐篷,3
景点大,3
百年名校,2
学习氛围浓,2
知名高校,2
商圈,2
千年银杏,2
泡温泉,2
国家一级博物馆,2
影视基地,2
层林尽染,2
乡村旅游重点村,2
连锁,2
赏月,2
购物中心,2
生活服务,2
售票处,2
地铁站,2
已入驻,2
滑雪,2
公园大,2
主题乐园,2
观日,2
观星,2
徒步,2
房地产,2
免费博物馆,2
商铺,2
酒店,2
公交车站,2
安静舒适,2
红门黄叶,1
设有校车,1
活动丰富,1
树叶金黄,1
银杏铺路,1
有北京烤鸭,1
性价比高,1
红黄满枝,1
绝美秋色,1
古寺清风,1
高山营地,1
《小丈夫》取景地,1
动物园,1
木屋,1
五彩斑斓,1
家居建材,1
科技馆,1
八大奇迹之一,1
蹦极,1
《芳华》取景地,1
漫山彩叶,1
文化宫,1
自然地物,1
山峰,1
有母婴室,1
千年古寺,1
收费营地,1
飞盘,1
《甄嬛传》取景地,1
中国三大戒坛之一,1
写字楼,1
地下车库,1
配套齐全,1
物业好,1
游乐园,1
清泉古刹,1
健康主题公园,1
嬉水天堂,1
水上乐园,1
美食,1
有鱼,1
市场,1
古树参天,1
住宅区,1
雁栖(地区)镇,1
水族馆,1
露天电影,1
度假村,1
价格实惠,1
公司企业,1
园区,1
《霸王别姬》取景地,1
规模之最,1
满园金黄,1
植物园,1
交通方便,1
